id,energy,ra,dec,reconstruction,gamma_d0,damping_d0
167,35731.258,4.3859653,-0.54234546,Shower,3.593964589557735e-05,0.9999640609999257
168,55166.504,0.4328122,0.17297411,Shower,2.6670104917828755e-05,0.9999733302507262
169,27625.223,2.2815807,0.5290971,Shower,3.337309807113321e-05,0.9999666274588045
170,111455.51,3.963834,0.025134869,Track,6.497308803446015e-05,0.999935029022671
171,67618.01,5.107744,0.34998605,Track,3.9905697070179815e-05,0.9999600950991515
172,25492.299,4.845091,-0.37391454,Track,1.7381857013634218e-05,0.99998261829405
173,70391.586,3.962043,0.2145183,Shower,4.660992525100972e-05,0.9999533911609747
174,104558.42,1.0633477,-0.94007957,Shower,5.600836403195099e-05,0.9999439932044072
175,501922.56,3.2245133,0.0077982084,Shower,0.00015390548228958438,0.9998461063605516
176,54084.098,3.65081,-0.6439671,Shower,2.469271617396714e-05,0.9999753075886887
177,122475.13,2.6848195,-0.1582742,Shower,4.640327398427576e-05,0.999953597802631
