event_name,catalog,m1_source,m2_source,chi_eff,final_mass_source,eta,loss_frac_obs,loss_frac_d0,loss_frac_spin_only,residual,domain
GW230922_020344,GWTC-4.1,39.3,29.2,0.03,65.4,0.24456497415951833,0.045255474452554664,0.045754931074102556,0.047478269778145954,0.0004994566215478918,clean_BBH
GW230920_071124,GWTC-4.1,32.4,23.8,0.0,53.8,0.2441458441509099,0.04270462633451967,0.0450242658504727,0.046876026718764785,0.0023196395159530286,clean_BBH
GW230919_215712,GWTC-4.1,27.3,21.4,0.18,46.5,0.24633067559419655,0.04517453798767973,0.050443436303390876,0.05162075879166905,0.005268898315711146,clean_BBH
GW230914_111401,GWTC-4.1,60.0,37.0,0.12,91.2,0.2359443086406632,0.05979381443298966,0.04341875374623483,0.047713705365520775,-0.01637506068675483,clean_BBH
GW230911_195324,GWTC-4.1,33.9,21.6,-0.02,53.1,0.2377209642074507,0.04324324324324322,0.041546364936398406,0.04531824951758734,-0.0016968783068448123,clean_BBH
GW230904_051013,GWTC-4.1,10.6,7.1,0.05,17.1,0.2402247119282454,0.033898305084745645,0.04395639558793685,0.046997302565508825,0.010058090503191203,clean_BBH
GW230831_015414,GWTC-4.1,42.0,30.0,0.04,69.0,0.24305555555555555,0.041666666666666664,0.045179628181574394,0.047367195998762934,0.0035129615149077295,clean_BBH
GW230825_041334,GWTC-4.1,44.0,27.2,0.29,67.0,0.23608130286579973,0.05898876404494386,0.04899173556284975,0.05327225754209819,-0.009997028482094113,clean_BBH
GW230824_033047,GWTC-4.1,53.0,36.0,-0.01,84.0,0.24087867693473047,0.056179775280898875,0.043237137638237,0.04607989579503391,-0.012942637642661875,clean_BBH
GW230820_212515,GWTC-4.1,62.0,34.0,0.21,92.0,0.2287326388888889,0.041666666666666664,0.042459159003699565,0.04875941063568634,0.0007924923370329004,clean_BBH
GW230819_171910,GWTC-4.1,70.0,35.0,-0.04,102.0,0.2222222222222222,0.02857142857142857,0.03412249340461859,0.0420546679171826,0.005551064833190022,clean_BBH
GW230814_230901,GWTC-4.1,33.7,28.2,-0.01,59.0,0.24802628660014978,0.046849757673667294,0.04684623512801789,0.04748128215750669,-3.522545649406461e-06,clean_BBH
GW230814_061920,GWTC-4.1,69.0,42.0,0.07,106.0,0.2352081811541271,0.04504504504504504,0.04189998655961058,0.04639909442180579,-0.0031450584854344626,clean_BBH
GW230811_032116,GWTC-4.1,35.4,22.3,0.03,55.3,0.23711361881962817,0.04159445407279039,0.04204604266776302,0.04599681196212979,0.0004515885949726295,clean_BBH
GW230806_204041,GWTC-4.1,51.0,35.0,0.08,82.0,0.24134667387777176,0.046511627906976744,0.045154675541225986,0.04786205954557965,-0.0013569523657507576,clean_BBH
GW230805_034249,GWTC-4.1,32.2,22.6,0.06,52.4,0.24232777452181792,0.043795620437956304,0.04521467775008259,0.047624636545034016,0.0014190573121262845,clean_BBH
GW230803_033412,GWTC-4.1,44.0,29.0,0.07,70.0,0.23944454869581536,0.0410958904109589,0.043982086982260915,0.047255510813570156,0.0028861965713020132,clean_BBH
GW230731_215307,GWTC-4.1,10.3,7.9,-0.05,17.4,0.24565269894940217,0.04395604395604418,0.04509114805348613,0.04647451178274731,0.0011351040974419482,clean_BBH
GW230729_082317,GWTC-4.1,12.3,7.6,0.12,19.3,0.23605464508472013,0.030150753768844116,0.04347317552700558,0.04773657734818326,0.013322421758161465,clean_BBH
GW230726_002940,GWTC-4.1,35.6,27.9,-0.02,60.6,0.2463240126480253,0.045669291338582656,0.04582499428631548,0.046998708244881726,0.0001557029477328234,clean_BBH
GW230723_101834,GWTC-4.1,16.6,10.6,-0.18,26.4,0.23783520761245672,0.029411764705882505,0.040444429861744235,0.04417864165190655,0.01103266515586173,clean_BBH
GW230712_090405,GWTC-4.1,32.0,12.5,-0.02,44.0,0.20199469763918698,0.011235955056179775,0.025986708864108032,0.0383711513774917,0.014750753807928257,clean_BBH
GW230709_122727,GWTC-4.1,45.0,30.0,0.08,71.0,0.24,0.05333333333333334,0.044478610238368854,0.04758832430508286,-0.008854723094964483,clean_BBH
GW230708_230935,GWTC-4.1,64.0,40.0,0.01,99.0,0.23668639053254437,0.04807692307692308,0.0414965166207405,0.04556883117965016,-0.006580406456182582,clean_BBH
GW230708_053705,GWTC-4.1,29.1,22.7,0.06,49.4,0.24618371819144025,0.04633204633204631,0.04718212915934539,0.04840170905473751,0.0008500828272990785,clean_BBH
GW230707_124047,GWTC-4.1,46.1,36.3,-0.05,78.0,0.24646379253464035,0.05339805825242725,0.04550239762526054,0.04663171333997451,-0.007895660627166713,clean_BBH
GW230706_104333,GWTC-4.1,16.3,11.5,0.19,26.6,0.24254696961854977,0.043165467625899255,0.04877202939936731,0.05112395576124207,0.0056065617734680565,clean_BBH
GW230704_212616,GWTC-4.1,89.0,50.0,0.27,132.0,0.23031934164898296,0.050359712230215826,0.04529271678093172,0.051179569623994725,-0.005066995449284108,clean_BBH
GW230704_021211,GWTC-4.1,32.6,20.0,-0.01,50.7,0.235654700805274,0.03612167300380225,0.04069121345043736,0.04505696483123389,0.004569540446635108,clean_BBH
GW230702_185453,GWTC-4.1,40.0,18.0,0.05,57.0,0.2140309155766944,0.017241379310344827,0.03188116262618035,0.04176080525785664,0.014639783315835521,clean_BBH
GW230630_234532,GWTC-4.1,10.0,6.6,-0.04,16.1,0.2395122659311946,0.03012048192771084,0.04215732958233287,0.04540441980370835,0.01203684765462203,clean_BBH
GW230630_125806,GWTC-4.1,51.0,33.0,0.18,80.0,0.2385204081632653,0.047619047619047616,0.04638523781367221,0.04994099270259067,-0.0012338098053754076,clean_BBH
